GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1379,76,696,106,683,124
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1921,87,1403,136,518,115
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1964,69,346,98,1618,107
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",901,49,85,40,816,59
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2953,138,476,150,2477,221
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1937,82,18,19,1919,80
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",30,43,0,11,30,43
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1840,97,40,31,1800,100
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1102,38,0,11,1102,38
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1392,71,57,35,1335,76
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2334,98,331,150,2003,172
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",507,53,99,48,408,52
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1144,73,102,51,1042,81
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1317,70,90,50,1227,77
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",118,40,0,11,118,40
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",370,47,149,46,221,50
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1902,139,111,48,1791,150
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",490,38,236,57,254,49
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2115,86,166,90,1949,122
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2712,117,202,89,2510,128
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2062,73,206,73,1856,106
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1639,66,114,56,1525,72
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",699,28,158,71,541,70
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1213,75,101,52,1112,85
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1481,106,251,94,1230,141
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1759,125,68,52,1691,131
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1960,58,0,16,1960,58
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",813,36,42,21,771,39
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1406,87,0,11,1406,87
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1729,97,238,89,1491,123
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",871,59,93,35,778,75
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1065,80,189,60,876,94
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",346,30,40,27,306,31
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2169,142,1215,185,954,162
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2434,97,114,81,2320,130
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1834,108,166,65,1668,99
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1294,94,121,64,1173,109
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1936,76,7,11,1929,77
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2312,138,118,85,2194,166
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",974,64,301,85,673,100
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2668,107,163,92,2505,131
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1322,101,212,67,1110,118
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",860,53,325,60,535,58
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1663,87,418,108,1245,122
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1291,89,16,14,1275,89
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1361,79,575,119,786,115
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",2035,99,295,65,1740,110
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1604,102,303,101,1301,131
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",603,35,154,48,449,54
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",2017,155,282,115,1735,203
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2340,150,54,72,2286,168
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2143,77,233,90,1910,121
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",684,57,403,61,281,72
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1750,106,137,57,1613,112
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1424,60,193,59,1231,73
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1889,76,53,38,1836,84
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1208,57,31,36,1177,67
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1178,62,348,85,830,96
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1778,88,408,84,1370,110
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1676,120,132,64,1544,129
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",723,58,267,63,456,73
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1731,87,714,115,1017,122
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",55,36,0,11,55,36
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1360,89,93,55,1267,91
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",577,41,9,10,568,42
