GEO.id,GEO.id2,GEO.display+AC0-label,total+AF8-households,total+AF8-owners,total+AF8-renters
1400000US36005000100,36005000100,+ACI-Census Tract 1, Bronx County, New York+ACI-,0,0,0
1400000US36005000200,36005000200,+ACI-Census Tract 2, Bronx County, New York+ACI-,1379,696,683
1400000US36005000400,36005000400,+ACI-Census Tract 4, Bronx County, New York+ACI-,1921,1403,518
1400000US36005001600,36005001600,+ACI-Census Tract 16, Bronx County, New York+ACI-,1964,346,1618
1400000US36005001900,36005001900,+ACI-Census Tract 19, Bronx County, New York+ACI-,901,85,816
1400000US36005002000,36005002000,+ACI-Census Tract 20, Bronx County, New York+ACI-,2953,476,2477
1400000US36005002300,36005002300,+ACI-Census Tract 23, Bronx County, New York+ACI-,1937,18,1919
1400000US36005002400,36005002400,+ACI-Census Tract 24, Bronx County, New York+ACI-,30,0,30
1400000US36005002500,36005002500,+ACI-Census Tract 25, Bronx County, New York+ACI-,1840,40,1800
1400000US36005002701,36005002701,+ACI-Census Tract 27.01, Bronx County, New York+ACI-,1102,0,1102
1400000US36005002702,36005002702,+ACI-Census Tract 27.02, Bronx County, New York+ACI-,1392,57,1335
1400000US36005002800,36005002800,+ACI-Census Tract 28, Bronx County, New York+ACI-,2334,331,2003
1400000US36005003100,36005003100,+ACI-Census Tract 31, Bronx County, New York+ACI-,507,99,408
1400000US36005003300,36005003300,+ACI-Census Tract 33, Bronx County, New York+ACI-,1144,102,1042
1400000US36005003500,36005003500,+ACI-Census Tract 35, Bronx County, New York+ACI-,1317,90,1227
1400000US36005003700,36005003700,+ACI-Census Tract 37, Bronx County, New York+ACI-,118,0,118
1400000US36005003800,36005003800,+ACI-Census Tract 38, Bronx County, New York+ACI-,370,149,221
1400000US36005003900,36005003900,+ACI-Census Tract 39, Bronx County, New York+ACI-,1902,111,1791
1400000US36005004001,36005004001,+ACI-Census Tract 40.01, Bronx County, New York+ACI-,490,236,254
1400000US36005004100,36005004100,+ACI-Census Tract 41, Bronx County, New York+ACI-,2115,166,1949
1400000US36005004200,36005004200,+ACI-Census Tract 42, Bronx County, New York+ACI-,2712,202,2510
1400000US36005004300,36005004300,+ACI-Census Tract 43, Bronx County, New York+ACI-,2062,206,1856
1400000US36005004400,36005004400,+ACI-Census Tract 44, Bronx County, New York+ACI-,1639,114,1525
1400000US36005004600,36005004600,+ACI-Census Tract 46, Bronx County, New York+ACI-,699,158,541
1400000US36005004800,36005004800,+ACI-Census Tract 48, Bronx County, New York+ACI-,1213,101,1112
1400000US36005005001,36005005001,+ACI-Census Tract 50.01, Bronx County, New York+ACI-,1481,251,1230
1400000US36005005002,36005005002,+ACI-Census Tract 50.02, Bronx County, New York+ACI-,1759,68,1691
1400000US36005005100,36005005100,+ACI-Census Tract 51, Bronx County, New York+ACI-,1960,0,1960
1400000US36005005200,36005005200,+ACI-Census Tract 52, Bronx County, New York+ACI-,813,42,771
1400000US36005005300,36005005300,+ACI-Census Tract 53, Bronx County, New York+ACI-,1406,0,1406
1400000US36005005400,36005005400,+ACI-Census Tract 54, Bronx County, New York+ACI-,1729,238,1491
1400000US36005005600,36005005600,+ACI-Census Tract 56, Bronx County, New York+ACI-,871,93,778
1400000US36005005902,36005005902,+ACI-Census Tract 59.02, Bronx County, New York+ACI-,1065,189,876
1400000US36005006000,36005006000,+ACI-Census Tract 60, Bronx County, New York+ACI-,346,40,306
1400000US36005006100,36005006100,+ACI-Census Tract 61, Bronx County, New York+ACI-,2169,1215,954
1400000US36005006200,36005006200,+ACI-Census Tract 62, Bronx County, New York+ACI-,2434,114,2320
1400000US36005006300,36005006300,+ACI-Census Tract 63, Bronx County, New York+ACI-,1834,166,1668
1400000US36005006400,36005006400,+ACI-Census Tract 64, Bronx County, New York+ACI-,1294,121,1173
1400000US36005006500,36005006500,+ACI-Census Tract 65, Bronx County, New York+ACI-,1936,7,1929
1400000US36005006700,36005006700,+ACI-Census Tract 67, Bronx County, New York+ACI-,2312,118,2194
